set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,
42098-1,Car Transporter,2019,1,2493,0,139.99,0,4.8,Mar-21,191.37,199.38,
42100-1,Liebherr R 9800 Excavator,2019,1,4108,0,399.99,0,4.8,Dec-21,441.68,490.83,
60207-1,Sky Police Drone Chase,2019,61,192,3,17.99,1,4.5,Dec-20,28.13,24.39,
60208-1,Sky Police Parachute Arrest,2019,61,218,3,24.99,3,4.5,Nov-20,29.16,33.63,
60209-1,Sky Police Diamond Heist,2019,61,400,3,44.99,3,4.7,Mar-20,56.07,62.38,
60210-1,Sky Police Air Base,2019,61,529,5,69.99,4,4.4,Jan-21,69.37,69.84,
60213-1,Dock Side Fire,2019,58,98,2,14.99,1,4.5,Dec-20,22.79,20.21,
60216-1,Downtown Fire Brigade,2019,58,943,7,89.99,5,4.7,Nov-21,102.37,91.49,
60217-1,Fire Plane,2019,58,363,1,34.99,1,4.7,Dec-20,46.78,59.9,
60222-1,Snow Groomer,2019,52,197,2,17.99,0,4.8,Dec-20,20.78,20.41,
60225-1,Rover Testing Drive,2019,679,202,2,17.99,0,4.7,Feb-21,30.18,32.84,
60226-1,Mars Research Shuttle,2019,679,273,2,24.99,1,4.6,Dec-21,37.27,38.04,
60227-1,Lunar Space Station,2019,679,412,5,44.99,4,4.7,Nov-20,52.63,57.93,
60232-1,Garage Center,2019,52,234,4,34.99,3,4.5,Dec-20,47.9,46.2,
60233-1,Donut Shop Opening,2019,52,790,10,79.99,8,4.8,Jan-21,89.52,93.26,
60234-1,People Pack - Fun Fair,2019,52,184,14,34.99,13,4.7,Dec-20,37.23,38.86,
70419-1,Wrecked Shrimp Boat,2019,676,311,4,24.99,2,4.7,Dec-20,25.82,29.79,
70420-1,Graveyard Mystery,2019,676,336,4,24.99,1,4.8,Mar-21,32.67,32.47,
70421-1,El Fuego's Stunt Truck,2019,676,429,4,34.99,3,4.6,Dec-20,33.18,33.46,
70422-1,Shrimp Shack Attack,2019,676,580,5,44.99,3,4.7,Dec-20,50.39,42.85,
70423-1,Paranormal Intercept Bus 3000,2019,676,690,5,54.99,3,4.7,Feb-21,54.45,51.69,
70424-1,Ghost Train Express,2019,676,699,6,69.99,3,4.7,Oct-20,71.22,80.76,
70425-1,Newbury Haunted High School,2019,676,1475,8,109.99,4,4.8,Oct-20,112.79,135.54,
70663-1,Spinjitzu Nya & Wu,2019,435,227,2,15.99,0,4.9,Jan-20,15.79,21.64,
